cve_id,published_date,last_modified_date,description,cvss_score,cvss_severity,cwe_id,source
CVE-2026-24109,2026-03-02T15:16:33.330,2026-06-17T10:22:38.250,"An issue was discovered in Tenda W20E V4.0br_V15.11.0.6. Attackers may exploit the vulnerability by controlling the value of `picName`. When this value is used in `sprintf` without validating variable sizes, it could lead to a buffer overflow vulnerability.",9.8,CRITICAL,CWE-120,cve@mitre.org
CVE-2026-24111,2026-03-02T15:16:33.497,2026-06-17T10:22:38.577,"An issue was discovered in Tenda W20E V4.0br_V15.11.0.6. Attackers may exploit the vulnerability by specifying the value of `userInfo`. When `userInfo` is passed into the `addAuthUser` function and processed by `sscanf` without size validation, it could lead to buffer overflow.",9.8,CRITICAL,CWE-120,cve@mitre.org
CVE-2026-24113,2026-03-02T15:16:33.657,2026-06-17T10:22:38.897,"An issue was discovered in Tenda W20E V4.0br_V15.11.0.6. Attackers may exploit the vulnerability by controlling the value of `nptr`. When this value is passed into the `getMibPrefix` function and concatenated using `sprintf` without proper size validation, it could lead to a buffer overflow vulnerability.",9.8,CRITICAL,CWE-120,cve@mitre.org
CVE-2026-24114,2026-03-02T15:16:33.810,2026-06-17T10:22:39.060,An issue was discovered in Tenda W20E V4.0br_V15.11.0.6. Failure to validate `pPortMapIndex` may lead to buffer overflows when using `strcpy`.,9.8,CRITICAL,CWE-120,cve@mitre.org
CVE-2026-24115,2026-03-02T15:16:33.977,2026-06-17T10:22:39.217,An issue was discovered in Tenda W20E V4.0br_V15.11.0.6. Failure to validate the sizes of `gstup` and `gstdwn` before concatenating them into `gstruleQos` may lead to buffer overflow.,9.8,CRITICAL,CWE-120,cve@mitre.org
CVE-2026-26694,2026-03-02T15:16:36.203,2026-06-17T10:26:12.597,code-projects Simple Student Alumni System v1.0 is vulnerale to SQL Injection in /TracerStudy/modal_view.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26695,2026-03-02T15:16:36.320,2026-06-17T10:26:12.753,code-projects Simple Student Alumni System v1.0 is vulnerable to SQL Injection in /TracerStudy/recordstudent_edit.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26696,2026-03-02T15:16:36.427,2026-06-17T10:26:12.917,code-projects Simple Student Alumni System v1.0 is vulnerable to SQL Injection in /TracerStudy/recordteacher_edit.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26702,2026-03-02T15:16:36.553,2026-06-17T10:26:13.850,sourcecodester Personnel Property Equipment System v1.0 is vulnerable to SQL Injection in /ppes/admin/myitem_reuse.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26703,2026-03-02T15:16:36.657,2026-06-17T10:26:14.013,sourcecodester Personnel Property Equipment System v1.0 is vulnerable to SQL Injection in /ppes/admin/advance_search.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2025-50199,2026-03-02T16:16:21.023,2026-06-17T09:34:57.837,"Chamilo is a learning management system. Prior to version 1.11.30, there is a blind SSRF vulnerability in /index.php via the POST openid_url parameter. This issue has been patched in version 1.11.30.",9.1,CRITICAL,CWE-918,security-advisories@github.com
CVE-2025-52998,2026-03-02T16:16:23.313,2026-06-17T09:37:26.937,"Chamilo is a learning management system. Prior to version 1.11.30, in the application, deserialization of data is performed, the data can be spoofed. An attacker can create objects of arbitrary classes, as well as fully control their properties, and thus modify the logic of the web application's operation. This issue has been patched in version 1.11.30.",9.8,CRITICAL,CWE-502,security-advisories@github.com
CVE-2026-24112,2026-03-02T16:16:24.680,2026-06-17T10:22:38.740,"An issue was discovered in Tenda W20E V4.0br_V15.11.0.6. Attackers may exploit the vulnerability by specifying the value of `userInfo`. When `userInfo` is passed into the `addWewifiWhiteUser` function and processed by `sscanf` without size validation, it could lead to a buffer overflow vulnerability.",9.8,CRITICAL,CWE-120,cve@mitre.org
CVE-2026-26701,2026-03-02T16:16:25.383,2026-06-17T10:26:13.690,sourcecodester Personnel Property Equipment System v1.0 is vulnerable to SQL Injection in /ppes/admin/edit_tecnical_user.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26700,2026-03-02T17:16:33.210,2026-06-17T10:26:13.533,sourcecodester Personnel Property Equipment System v1.0 is vulnerable to SQL Injection in /ppes/admin/edit_employee.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26708,2026-03-02T17:16:33.313,2026-06-17T10:26:14.793,sourcecodester Pharmacy Point of Sale System v1.0 is vulnerable to SQL Injection in /pharmacy/manage_user.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-28286,2026-03-02T17:16:33.610,2026-06-17T10:28:25.847,"ZimaOS is a fork of CasaOS, an operating system for Zima devices and x86-64 systems with UEFI. In version 1.5.2-beta3, the application enforces restrictions in the frontend/UI to prevent users from creating files or folders in internal OS paths. However, when interacting directly with the API, the restrictions are bypass-able. By sending a crafted request targeting paths like /etc, /usr, or other sensitive system directories, the API successfully creates files or directories in locations where normal users should have no write access. This indicates that the API does not properly validate the target path, allowing unauthorized operations on critical system directories. No known patch is publicly available.",8.5,HIGH,CWE-73,security-advisories@github.com
CVE-2026-26704,2026-03-02T18:16:26.553,2026-06-17T10:26:14.173,sourcecodester Pharmacy Point of Sale System v1.0 is vulnerable to SQL Injection in /pharmacy/view_category.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26705,2026-03-02T18:16:26.673,2026-06-17T10:26:14.330,sourcecodester Pharmacy Point of Sale System v1.0 is vulnerable to SQL Injection in /pharmacy/view_product.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26706,2026-03-02T18:16:26.793,2026-06-17T10:26:14.487,sourcecodester Pharmacy Point of Sale System v1.0 is vulnerable to SQL Injection in /pharmacy/view_receipt.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26707,2026-03-02T18:16:26.903,2026-06-17T10:26:14.640,sourcecodester Pharmacy Point of Sale System v1.0 is vulnerable to SQL Injection in /pharmacy/view_supplier.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2025-48609,2026-03-02T19:16:27.060,2026-06-17T09:29:58.117,"In multiple functions of MmsProvider.java, there is a possible way to arbitrarily delete files which affect telephony, SMS, and MMS functionalities due to a path traversal error. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",9.1,CRITICAL,CWE-400,security@android.com
CVE-2026-26709,2026-03-02T19:16:33.370,2026-06-17T10:26:14.960,code-projects Simple Gym Management System v1.0 is vulnerable to SQL Injection in /gym/trainer_search.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26710,2026-03-02T19:16:33.487,2026-06-17T10:26:15.113,code-projects Simple Food Order System v1.0 is vulnerable to SQL Injection in /food/routers/edit-orders.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26711,2026-03-02T19:16:33.600,2026-06-17T10:26:15.280,code-projects Simple Food Order System v1.0 is vulnerable to SQL Injection in /food/view-ticket.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26712,2026-03-02T20:16:26.990,2026-06-17T10:26:15.437,code-projects Simple Food Order System v1.0 is vulnerable to SQL Injection in /food/view-ticket-admin.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-26713,2026-03-02T20:16:27.103,2026-06-17T10:26:15.597,code-projects Simple Food Order System v1.0 is vulnerable to SQL Injection in /food/routers/cancel-order.php.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-3136,2026-03-03T17:16:19.160,2026-06-17T10:43:06.170,"An improper authorization vulnerability in GitHub Trigger Comment Control in Google Cloud Build prior to 2026-1-26 allows a remote attacker to execute arbitrary code in the build environment.  This vulnerability was patched on 26 January 2026, and no customer action is needed.",9.8,CRITICAL,CWE-863,f45cbf4e-4146-4068-b7e1-655ffc2c548c
CVE-2024-55024,2026-03-03T20:16:41.423,2026-06-17T08:10:54.077,"An authentication bypass vulnerability in the authorization mechanism of Weintek cMT-3072XH2 easyweb v2.1.53, OS v20231011 allows unauthorized attackers to perform Administrative actions using service accounts.",9.8,CRITICAL,CWE-693,cve@mitre.org
CVE-2024-55026,2026-03-03T20:16:41.780,2026-06-17T08:10:54.380,"An issue in the reset_pj.cgi endpoint of Weintek cMT-3072XH2 easyweb v2.1.53, OS v20231011 allows unauthorized attackers to execute arbitrary commands via supplying a crafted GET request.",9.8,CRITICAL,CWE-256,cve@mitre.org
CVE-2025-14923,2026-03-03T20:16:42.787,2026-06-17T08:36:46.573,IBM WebSphere Application Server - Liberty 17.0.0.3 through 26.0.0.2 IBM WebSphere Application Server Liberty could provide weaker than expected security when using the Security Utility when administering security settings.,4.7,MEDIUM,CWE-321;CWE-798,psirt@us.ibm.com
CVE-2025-70236,2026-03-03T20:16:44.457,2026-06-17T10:03:13.470,Stack buffer overflow vulnerability in D-Link DIR-513 v1.10 via the curTime parameter to goform/formSetDomainFilter.,9.8,CRITICAL,CWE-121;CWE-787,cve@mitre.org
CVE-2025-70237,2026-03-03T20:16:44.580,2026-06-17T10:03:13.630,Stack buffer overflow vulnerability in D-Link DIR-513 v1.10 via the curTime parameter to goform/formSetPortTr.,9.8,CRITICAL,CWE-121;CWE-787,cve@mitre.org
CVE-2025-70241,2026-03-03T20:16:44.690,2026-06-17T10:03:14.250,Stack buffer overflow vulnerability in D-Link DIR-513 v1.10 via the curTime parameter to goform/formSetWANType_Wizard5.,9.8,CRITICAL,CWE-121;CWE-787,cve@mitre.org
CVE-2025-70234,2026-03-03T21:15:57.040,2026-06-17T10:03:13.313,Stack buffer overflow vulnerability in D-Link DIR-513 v1.10 via the curTime parameter to goform/formSetQoS.,9.8,CRITICAL,CWE-121;CWE-787,cve@mitre.org
CVE-2025-70239,2026-03-03T21:15:57.160,2026-06-17T10:03:13.943,Stack buffer overflow vulnerability in D-Link DIR-513 v1.10 via the curTime parameter to goform/formSetWAN_Wizard55.,9.8,CRITICAL,CWE-121;CWE-787,cve@mitre.org
CVE-2025-70240,2026-03-03T21:15:57.287,2026-06-17T10:03:14.097,Stack buffer overflow vulnerability in D-Link DIR-513 v1.10 via the curTime parameter to goform/formSetWAN_Wizard51.,9.8,CRITICAL,CWE-121;CWE-787,cve@mitre.org
CVE-2026-24848,2026-03-03T22:16:28.293,2026-06-17T10:23:41.930,"OpenEMR is a free and open source electronic health records and medical practice management application. In 7.0.4 and earlier, the disposeDocument() method in EtherFaxActions.php allows authenticated users to write arbitrary content to arbitrary locations on the server filesystem. This vulnerability can be exploited to achieve Remote Code Execution (RCE) by uploading malicious PHP web shells.",9.9,CRITICAL,CWE-22,security-advisories@github.com
CVE-2026-24898,2026-03-03T22:16:28.443,2026-06-17T10:23:46.337,"OpenEMR is a free and open source electronic health records and medical practice management application. Prior to 8.0.0, an unauthenticated token disclosure vulnerability in the MedEx callback endpoint allows any unauthenticated visitor to obtain the practice's MedEx API tokens, leading to complete third-party service compromise, PHI exfiltration, unauthorized actions on the MedEx platform, and HIPAA violations. The vulnerability exists because the endpoint bypasses authentication ($ignoreAuth = true) and performs a MedEx login whenever $_POST['callback_key'] is provided, returning the full JSON response including sensitive API tokens. This vulnerability is fixed in 8.0.0.",10.0,CRITICAL,CWE-287,security-advisories@github.com
CVE-2026-27971,2026-03-03T23:15:56.227,2026-06-17T10:27:59.753,Qwik is a performance focused javascript framework. qwik <=1.19.0 is vulnerable to RCE due to an unsafe deserialization vulnerability in the server$ RPC mechanism that allows any unauthenticated user to execute arbitrary code on the server with a single HTTP request. Affects any deployment where require() is available at runtime. This vulnerability is fixed in 1.19.1.,9.8,CRITICAL,CWE-502,security-advisories@github.com
CVE-2026-3266,2026-03-03T23:15:56.813,2026-06-17T10:43:18.387,Missing Authorization vulnerability in OpenText™ Filr allows Authentication Bypass. The vulnerability could allow unauthenticated users to get XSRF token and do RPC with carefully crafted programs.  This issue affects Filr: through 25.1.2.,9.8,CRITICAL,CWE-862,security@opentext.com
CVE-2026-28775,2026-03-04T08:16:13.803,2026-06-17T10:29:01.193,"An unauthenticated Remote Code Execution (RCE) vulnerability exists in the SNMP service of International Datacasting Corporation (IDC) SFX Series SuperFlex SatelliteReceiver. The deployment insecurely provisions the `private` SNMP community string with read/write access by default. Because the SNMP agent runs as root, an unauthenticated remote attacker can utilize `NET-SNMP-EXTEND-MIB` directives, abusing the fact that the system runs a vulnerable version of net-snmp pre 5.8, to execute arbitrary operating system commands with root privileges.",9.8,CRITICAL,CWE-1188,b7efe717-a805-47cf-8e9a-921fca0ce0ce
CVE-2026-28776,2026-03-04T08:16:13.960,2026-06-17T10:29:01.310,"International Datacasting Corporation (IDC) SFX Series SuperFlex SatelliteReceiver contains hardcoded credentials for the `monitor` account. A remote unauthenticated attacker can use these trivial, undocumented credentials to access the system via SSH. While initially dropped into a restricted shell, the attacker can trivially break out to achieve standard shell functionality.",9.8,CRITICAL,CWE-798,b7efe717-a805-47cf-8e9a-921fca0ce0ce
CVE-2026-28777,2026-03-04T08:16:14.113,2026-06-17T10:29:01.427,"International Datacasting Corporation (IDC)   SFX2100 Satellite Receiver, trivial password for the `user` (usr) account. A remote unauthenticated attacker can exploit this to gain unauthorized SSH access to the system, while intially dropped into a restricted shell, an attacker can trivially spawn a complete pty to gain an appropriately interactive shell.",9.8,CRITICAL,CWE-798,b7efe717-a805-47cf-8e9a-921fca0ce0ce
CVE-2026-28778,2026-03-04T08:16:14.253,2026-06-17T10:29:01.543,"International Datacasting Corporation (IDC) SFX Series SuperFlex Satellite Receiver contains undocumented, hardcoded/insecure credentials for the `xd` user account. A remote unauthenticated attacker can log in via FTP using these credentials. Because the `xd` user has write permissions to their home directory where root-executed binaries and symlinks (such as those invoked by `xdstartstop`) are stored, the attacker can overwrite these files or manipulate symlinks to achieve arbitrary code execution as the root user.",9.8,CRITICAL,CWE-798,b7efe717-a805-47cf-8e9a-921fca0ce0ce
CVE-2026-29119,2026-03-04T08:16:14.440,2026-06-17T10:29:37.730,"International Datacasting Corporation (IDC) SFX Series SuperFlex(SFX2100) SatelliteReceiver contains hardcoded and insecure credentials for the `admin` account. A remote unauthenticated attacker can use these undocumented credentials to access the satellite system directly via the Telnet service, leading to potential system compromise.",9.8,CRITICAL,CWE-798,b7efe717-a805-47cf-8e9a-921fca0ce0ce
CVE-2026-27441,2026-03-04T09:15:55.943,2026-06-17T10:27:09.700,"SEPPmail Secure Email Gateway before version 15.0.1 insufficiently neutralizes the PDF encryption password, allowing OS command execution.",9.8,CRITICAL,CWE-78,vulnerability@ncsc.ch
CVE-2026-27446,2026-03-04T09:15:56.837,2026-06-17T10:27:10.290,"Missing Authentication for Critical Function (CWE-306) vulnerability in Apache Artemis, Apache ActiveMQ Artemis. An unauthenticated remote attacker can use the Core protocol to force a target broker to establish an outbound Core federation connection to an attacker-controlled rogue broker. This could potentially result in message injection into any queue and/or message exfiltration from any queue via the rogue broker. This impacts environments that allow both:  - incoming Core protocol connections from untrusted sources to the broker  - outgoing Core protocol connections from the broker to untrusted targets  This issue affects:  - Apache Artemis from 2.50.0 through 2.51.0  - Apache ActiveMQ Artemis from 2.11.0 through 2.44.0.  Users are recommended to upgrade to Apache Artemis version 2.52.0, which fixes the issue.  The issue can be mitigated by one of the following:  - Remove Core protocol support from any acceptor receiving connections from untrusted sources. Incoming Core protocol connections are supported by default via the ""artemis"" acceptor listening on port 61616. See the ""protocols"" URL parameter configured for the acceptor. An acceptor URL without this parameter supports all protocols by default, including Core.  - Use two-way SSL (i.e. certificate-based authentication) in order to force every client to present the proper SSL certificate when establishing a connection before any message protocol handshake is attempted. This will prevent unauthenticated exploitation of this vulnerability.  - Implement and deploy a Core interceptor to deny all Core downstream federation connect packets. Such packets have a type of (int) -16 or (byte) 0xfffffff0. Documentation for interceptors is available at  https://artemis.apache.org/components/artemis/documentation/latest/intercepting-operations.html .",9.8,CRITICAL,CWE-306,security@apache.org
CVE-2025-59786,2026-03-04T16:16:25.453,2026-06-17T09:46:42.953,"2N Access Commander version 3.4.2 and prior improperly invalidates session tokens, allowing multiple session cookies to remain active after logout in web application.",9.8,CRITICAL,CWE-613,be69f613-e5f6-419b-800c-30351aa8933c
CVE-2025-66678,2026-03-04T17:16:17.387,2026-06-17T09:57:09.677,An issue in the HwRwDrv.sys component of Nil Hardware Editor Hardware Read & Write Utility v1.25.11.26 and earlier allows attackers to execute arbitrary read and write operations via a crafted request.,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2025-66944,2026-03-04T17:16:17.697,2026-06-17T09:57:20.507,SQL Injection vulnerability in vran-dev databaseir v.1.0.7 and before allows a remote attacker to execute arbitrary code via the query parameter in the search API endpoint,9.8,CRITICAL,CWE-89,cve@mitre.org
CVE-2026-28697,2026-03-04T17:16:21.210,2026-06-17T10:28:55.610,"Craft is a content management system (CMS). Prior to 4.17.0-beta.1 and 5.9.0-beta.1, an authenticated administrator can achieve Remote Code Execution (RCE) by injecting a Server-Side Template Injection (SSTI) payload into Twig template fields (e.g., Email Templates). By calling the craft.app.fs.write() method, an attacker can write a malicious PHP script to a web-accessible directory and subsequently access it via the browser to execute arbitrary system commands. This vulnerability is fixed in 4.17.0-beta.1 and 5.9.0-beta.1.",9.1,CRITICAL,CWE-1336,security-advisories@github.com
CVE-2026-28783,2026-03-04T17:16:21.690,2026-06-17T10:29:02.200,"Craft is a content management system (CMS). Prior to 5.9.0-beta.1 and 4.17.0-beta.1, Craft CMS implements a blocklist to prevent potentially dangerous PHP functions from being called via Twig non-Closure arrow functions. In order to be able to successfully execute this attack, you need to either have allowAdminChanges enabled on production, or a compromised admin account, or an account with access to the System Messages utility. Several PHP functions are not included in the blocklist, which could allow malicious actors with the required permissions to execute various types of payloads, including RCEs, arbitrary file reads, SSRFs, and SSTIs. This vulnerability is fixed in 5.9.0-beta.1 and 4.17.0-beta.1.",9.1,CRITICAL,CWE-1336;CWE-184;CWE-94,security-advisories@github.com
CVE-2019-25499,2026-03-04T18:16:08.260,2026-06-17T02:32:31.640,"Simple Job Script contains an SQL injection vulnerability that allows unauthenticated attackers to manipulate database queries by injecting SQL code through the job_id parameter. Attackers can send POST requests to get_job_applications_ajax.php with malicious job_id values to bypass authentication, extract sensitive data, or modify database contents.",8.2,HIGH,CWE-89,disclosure@vulncheck.com
CVE-2019-25506,2026-03-04T18:16:09.620,2026-06-17T02:32:32.727,FreeSMS 2.1.2 contains a boolean-based blind SQL injection vulnerability in the password parameter that allows unauthenticated attackers to bypass authentication by injecting SQL code through the login endpoint. Attackers can exploit the vulnerable password parameter in requests to /pages/crc_handler.php?method=login to authenticate as any known user and subsequently modify their password via the profile update function.,8.2,HIGH,CWE-89,disclosure@vulncheck.com
CVE-2025-66024,2026-03-04T22:16:11.677,2026-06-17T09:56:11.727,The XWiki blog application allows users of the XWiki platform to create and manage blog posts. Versions prior to 9.15.7 are vulnerable to Stored Cross-Site Scripting (XSS) via the Blog Post Title. The vulnerability arises because the post title is injected directly into the HTML <title> tag without proper escaping. An attacker with permissions to create or edit blog posts can inject malicious JavaScript into the title field. This script will execute in the browser of any user (including administrators) who views the blog post. This leads to potential session hijacking or privilege escalation. The vulnerability has been patched in the blog application version 9.15.7 by adding missing escaping. No known workarounds are available.,9.0,CRITICAL,CWE-79,security-advisories@github.com
CVE-2026-26002,2026-03-04T23:16:09.980,2026-06-17T10:25:34.670,Open OnDemand is an open-source high-performance computing portal. The Files application in OnDemand versions prior to 4.0.9 and 4.1.3 is susceptible to malicious input when navigating to a directory. This has been patched in versions 4.0.9 and 4.1.3.  Versions below this remain susceptible.,9.8,CRITICAL,CWE-74,security-advisories@github.com
CVE-2026-29045,2026-03-04T23:16:10.247,2026-06-17T10:29:30.013,"Hono is a Web application framework that provides support for any JavaScript runtime. Prior to version 4.12.4, when using serveStatic together with route-based middleware protections (e.g. app.use('/admin/*', ...)), inconsistent URL decoding allowed protected static resources to be accessed without authorization. The router used decodeURI, while serveStatic used decodeURIComponent. This mismatch allowed paths containing encoded slashes (%2F) to bypass middleware protections while still resolving to the intended filesystem path. This issue has been patched in version 4.12.4.",7.5,HIGH,CWE-177,security-advisories@github.com
CVE-2026-2833,2026-03-05T00:15:57.650,2026-06-17T10:31:51.227,"An HTTP request smuggling vulnerability (CWE-444) was found in Pingora's handling of HTTP/1.1 connection upgrades. The issue occurs when a Pingora proxy reads a request containing an Upgrade header, causing the proxy to pass through the rest of the bytes on the connection to a backend before the backend has accepted the upgrade. An attacker can thus directly forward a malicious payload after a request with an Upgrade header to that backend in a way that may be interpreted as a subsequent request header, bypassing proxy-level security controls and enabling cross-user session hijacking.  Impact  This vulnerability primarily affects standalone Pingora deployments where a Pingora proxy is exposed to external traffic. An attacker could exploit this to:    *  Bypass proxy-level ACL controls and WAF logic       *  Poison caches and upstream connections, causing subsequent requests from legitimate users to receive responses intended for smuggled requests       *  Perform cross-user attacks by hijacking sessions or smuggling requests that appear to originate from the trusted proxy IP     Cloudflare's CDN infrastructure was not affected by this vulnerability, as ingress proxies in the CDN stack maintain proper HTTP parsing boundaries and do not prematurely switch to upgraded connection forwarding mode.   Mitigation:  Pingora users should upgrade to Pingora v0.8.0 or higher   As a workaround, users may return an error on requests with the Upgrade header present in their request filter logic in order to stop processing bytes beyond the request header and disable downstream connection reuse.",9.1,CRITICAL,CWE-444,cna@cloudflare.com
CVE-2026-2835,2026-03-05T00:15:57.860,2026-06-17T10:31:51.477,"An HTTP Request Smuggling vulnerability (CWE-444) has been found in Pingora's parsing of HTTP/1.0 and Transfer-Encoding requests. The issue occurs due to improperly allowing HTTP/1.0 request bodies to be close-delimited and incorrect handling of multiple Transfer-Encoding values, allowing attackers to send HTTP/1.0 requests in a way that would desync Pingora’s request framing from backend servers’.  Impact  This vulnerability primarily affects standalone Pingora deployments in front of certain backends that accept HTTP/1.0 requests. An attacker could craft a malicious payload following this request that Pingora forwards to the backend in order to:    *  Bypass proxy-level ACL controls and WAF logic       *  Poison caches and upstream connections, causing subsequent requests from legitimate users to receive responses intended for smuggled requests       *  Perform cross-user attacks by hijacking sessions or smuggling requests that appear to originate from the trusted proxy IP     Cloudflare's CDN infrastructure was not affected by this vulnerability, as its ingress proxy layers forwarded HTTP/1.1 requests only, rejected ambiguous framing such as invalid Content-Length values, and forwarded a single Transfer-Encoding: chunked header for chunked requests.   Mitigation:  Pingora users should upgrade to Pingora v0.8.0 or higher that fixes this issue by correctly parsing message length headers per RFC 9112 and strictly adhering to more RFC guidelines, including that HTTP request bodies are never close-delimited.  As a workaround, users can reject certain requests with an error in the request filter logic in order to stop processing bytes on the connection and disable downstream connection reuse. The user should reject any non-HTTP/1.1 request, or a request that has invalid Content-Length, multiple Transfer-Encoding headers, or Transfer-Encoding header that is not an exact “chunked” string match.",9.1,CRITICAL,CWE-444,cna@cloudflare.com
CVE-2026-29053,2026-03-05T06:16:50.410,2026-06-17T10:29:30.920,"Ghost is a Node.js content management system. From version 0.7.2 to 6.19.0, specifically crafted malicious themes can execute arbitrary code on the server running Ghost. This issue has been patched in version 6.19.1.",7.6,HIGH,CWE-74,security-advisories@github.com
CVE-2026-29128,2026-03-05T06:16:51.743,2026-06-17T10:29:40.120,"IDC SFX2100 Satellite Receiver firmware ships with multiple daemon configuration files for routing components (e.g., zebra, bgpd, ospfd, and ripd) that are owned by root but world-readable. The configuration files (e.g., zebra.conf, bgpd.conf, ospfd.conf, ripd.conf) contain hardcoded or otherwise insecure plaintext passwords (including “enable”/privileged-mode credentials). A remote actor is able to abuse the reuse/hardcoded nature of these credentials to further access other systems in the network, gain a foothold on the satellite receiver or potentially locally privilege escalate.",10.0,CRITICAL,CWE-522;CWE-798,b7efe717-a805-47cf-8e9a-921fca0ce0ce
CVE-2026-1678,2026-03-05T07:16:11.437,2026-06-17T10:16:18.153,"dns_unpack_name() caches the buffer tailroom once and reuses it while appending DNS labels. As the buffer grows, the cached size becomes incorrect, and the final null terminator can be written past the buffer. With assertions disabled (default), a malicious DNS response can trigger an out-of-bounds write when CONFIG_DNS_RESOLVER is enabled.",9.4,CRITICAL,CWE-787,vulnerabilities@zephyrproject.org
